Song,Singers,Movie,Hero ,Director,Year
Vatta Vatta,"['Unnimenon', 'Padmalatha']", Thennavan,Vijaykanth, M. Nandakumaran.,2003
Oh Shalalala Jamaai,"['Yuvan Shankar Raja', ' Yugendran', ' Premji']", Junior Senior, Mammootty, J. Suresh.,2002
Singara Kanna,['Chitra Sivaraman'], Junior Senior, Mammootty, J. Suresh.,2002
Anandham Pennukulle,['Unnikrishnan'], Junior Senior, Mammootty, J. Suresh.,2002
Pudhusai Pudhusai,"['Srinivas', ' Tippu']", Junior Senior, Mammootty, J. Suresh.,2002
Naan Oruvan,['Vijay Yesudas'], Junior Senior, Mammootty, J. Suresh.,2002
Bombay_City,['Pavithra'], Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
Chithanna_Vasal,"[''S.P.Balasubrahmanyam', 'Sujatha']", Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
Iru_Kankal_Sollum,"['Palaram', ' Poornima' , 'Gopika']", Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
Kalluri_Padam,['Shankarmahadevan'], Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
Mullaipoo,"['S.P.B.Saran', ' Venkat Prabhu' , 'Yugendran']", Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
Saisa,['Theme Music'], Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
Thozha_Thozha,['Karthik'], Kadhal Samrajyam, Aravind Akash, Agathiyan.,2002
AzhagaanaAangal,['Prasanna'], April Maadhathil, Srikanth, S. S. Stanley.,2002
Kanavugal Pookkum,"['S.P.Balasubrahmanyam', ' Pop Shalini']", April Maadhathil, Srikanth, S. S. Stanley.,2002
Manasae Manasae,['Karthik'], April Maadhathil, Srikanth, S. S. Stanley.,2002
Poi Solla Manasukku,['Yuvan Shankar Raja'], April Maadhathil, Srikanth, S. S. Stanley.,2002
Sight Adippom,"['STR', ' Karthik']", April Maadhathil, Srikanth, S. S. Stanley.,2002
Yeh Nenje,"['Harish Raghavendra', ' Sadhana Sargam']", April Maadhathil, Srikanth, S. S. Stanley.,2002
Poo Poovai,"['Unni Menon', ' Ganga']", Bala, Shaam, Deepak.,2002
Theendi Theendi,"['Unni Krishnan', ' Sujatha']", Bala, Shaam, Deepak.,2002
Bailamo,['Yuvan Shankar Raja'], Bala, Shaam, Deepak.,2002
Vannathi Poochi,"['Karthik', ' Mathangi']", Bala, Shaam, Deepak.,2002
Enn Kannai,['Shankar Mahadevan'], Bala, Shaam, Deepak.,2002
Aadatha Aatamellam,['Karthik'], Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
Arupadhu Aayidichu,"['Manicka Vinayagam', 'Malgudi Suba']", Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
Chinna Chinnathai Penne,"['Hariharan' , 'Yuvan Shankar Raja']", Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
Eh Nanbane Kopam,"['Hariharan', 'Shankar Mahadevan']", Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
En Anbae En Anbae,['Shankar Mahadevan'], Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
Ilamai Oorai Sutrum,"['Nidheesh Gopalan' , 'Yuvan Shankar Raja']", Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
Kannil Kanthamey Vendam,"['S.P.Balasubrahmanyam', 'Thara']", Mounam Pesiyadhe, Suriya, Ameer Sultan.,2002
Idhu Kadhala,['Yuvan Shnakar Raja'], Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Kanmuney Ethanai Nilavu,"['Yuvan Shnakar Raja' , 'Timmy']", Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Kattrukku Kattrukku,"['Harish Raghavendra', ' Harini', ' Febi Mani', ' Sunder Rajan']", Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Naeruppu Koothadikkudhu,"['Venket Prabhu', ' Chitra Sivaraman']", Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Theenda Teenda (Duet),"['P. Unni Krishnan' , 'Bombay Jayashri']", Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Theenda Theenda (Solo),['Bombay Jayashri'], Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Theepiditha Kangal,['Boney'], Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Theme Music,['Instrumental'], Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
Vaanam Oru,"['Yuvan Shankar Raja', ' Boney', 'Lavanya']", Thulluvadho Ilamai, Dhanush, Selvaraghavan.,2002
All Day Jolly,"['Shankar Mahadevan', ' Yuvan Shankar Raja']", Manadhai Thirudivittai, Prabhu Deva, R. D. Narayanamurthy.,2001
Azhagana Suriyan,['Sujatha'], Manadhai Thirudivittai, Prabhu Deva, R. D. Narayanamurthy.,2001
Color Color,['Chitra Sivaraman'], Manadhai Thirudivittai, Prabhu Deva, R. D. Narayanamurthy.,2001
Kutti Kutti,['Sadhana Sargam'], Manadhai Thirudivittai, Prabhu Deva, R. D. Narayanamurthy.,2001
Manjakatu Maina,"['Karthik', ' Sadhana Sargam']", Manadhai Thirudivittai, Prabhu Deva, R. D. Narayanamurthy.,2001
Or Aayiram Yaanai,['Unni Krishnan'], Nandha, Suriya, Bala.,2001
Mun Paniyaa,"['S. P. B. Saran', ' Malgudi Subha']", Nandha, Suriya, Bala.,2001
Maayane Andha,"['Rajalakshmi', ' Madhumitha', 'Chorus']", Nandha, Suriya, Bala.,2001
Kalli Adi Kalli,"['Anuradha Sriram', ' Madhumitha', 'Chorus']", Nandha, Suriya, Bala.,2001
Engengo Kaalgal Sellum,['Ilaiyaraaja'], Nandha, Suriya, Bala.,2001
Vaa Vaa Poove,"['Hariharan', ' S. Janaki']", Rishi, Sarath Kumar, Sundar C.,2001
Kaatrodu Puyalai,"['Shankar Mahadevan', ' Annupamaa']", Rishi, Sarath Kumar, Sundar C.,2001
Oh Mane Mane (F),['Sujatha'], Rishi, Sarath Kumar, Sundar C.,2001
Jumbo Ithu Kadhal,"['S. P. B. Charan', ' Sujatha']", Rishi, Sarath Kumar, Sundar C.,2001
05. Oh Mane Mane (M),['Hariharan'], Rishi, Sarath Kumar, Sundar C.,2001
En Nenjil Ningalane,['Harish Ragavendra'], Dheena, Ajith Kumar, A. R. Murugadoss.,2001
Kathal Website Ondru,"['Shankar Mahadevan', ' Harini', ' Timmy', 'Yuvan Shankar Raja']", Dheena, Ajith Kumar, A. R. Murugadoss.,2001
Nee Illai Enral,"['Bhavatharini', ' Murugan M.Iyer', ' Timmy' , 'Yuvan Shankar Raja']", Dheena, Ajith Kumar, A. R. Murugadoss.,2001
Sollamal Thottu Chellum Thendral,['Hariharan'], Dheena, Ajith Kumar, A. R. Murugadoss.,2001
CBI Enge Theda,['Sukhwinder Singh'], Poovellam Kettuppar, Suriya, Vasanth.,1999
Chudithar Aninthu Vantha,"['Hariharan', ' Sadhana Sargam']", Poovellam Kettuppar, Suriya, Vasanth.,1999
Irava Pagala,"['Hariharan', ' Sujatha']", Poovellam Kettuppar, Suriya, Vasanth.,1999
Poothathu Poothathu,['Bhavatharini'], Poovellam Kettuppar, Suriya, Vasanth.,1999
Poova Poova Poove,['Nithyasree Mahadevan'], Poovellam Kettuppar, Suriya, Vasanth.,1999
Poove Poove (Male),['P. Unni Krishnan'], Poovellam Kettuppar, Suriya, Vasanth.,1999
Senyoreeta Senyoreeta,['P. Unni Krishnan'], Poovellam Kettuppar, Suriya, Vasanth.,1999
Monalisa,"['Devan', ' Anuradha Sriram']", Unakkaga Ellam Unakkaga, Karthik, Sundar C.,1999
Vennila,['Hariharan'], Unakkaga Ellam Unakkaga, Karthik, Sundar C.,1999
Duniya,"['Srinivas', ' Sandeep']", Unakkaga Ellam Unakkaga, Karthik, Sundar C.,1999
Thulli Thulli,"['S.P.B.Saran', ' Sujatha']", Unakkaga Ellam Unakkaga, Karthik, Sundar C.,1999
Achutha Achutha,"['Yuvan Shankar Raja', ' Premji']", Velai, Vignesh Indraja Nassar., Suresh.,1998
Kunnooru Poochadi,"['Udit Narayan', ' Sujatha Mohan']", Velai, Vignesh Indraja Nassar., Suresh.,1998
Kanni Ponnu,['Pop Shalini'], Velai, Vignesh Indraja Nassar., Suresh.,1998
Oyvedu Nilave,"['Hariharan', ' Bhavatharini']", Velai, Vignesh Indraja Nassar., Suresh.,1998
Kaalathuketha Oru Gana,"['Vijay', ' Nassar', ' Premji']", Velai, Vignesh Indraja Nassar., Suresh.,1998
Madona Paattu,"['Mano', ' Pop Shalini', ' Yuvan Shankar Raja']", Kalyana Galatta, Sathyaraj, Rajkapoor.,1998
Adiye Kuruvamma,"['Mano', ' Anuradha Sriram']", Kalyana Galatta, Sathyaraj, Rajkapoor.,1998
Aadham Yevaal,"['Venkat Prabhu', ' Bhavatharini']", Kalyana Galatta, Sathyaraj, Rajkapoor.,1998
Velli Malai Kattu,"['Arunmozhi', ' K. S. Chitra']", Kalyana Galatta, Sathyaraj, Rajkapoor.,1998
Vazhkaiyil,"['Bhavatharini', ' Mano', ' Yuvan Shankar Raja']", Kalyana Galatta, Sathyaraj, Rajkapoor.,1998
All The Best,"['Hariharan' , 'Pavatharaini']", Aravindhan, Sarath Kumar, T. Nagarajan.,1997
Era Nila Malargalai,"[''S.P.Balasubrahmanyam'', 'Sobhana']", Aravindhan, Sarath Kumar, T. Nagarajan.,1997
Hey… Hey,"['Mano',  'Sumangall', ' Yogi']",Aravindhan, Sarath Kumar, T. Nagarajan.,1997
Poovattam ,"['T.L.Maharajan', 'Swarnalatha']",Aravindhan, Sarath Kumar, T. Nagarajan.,1997
 Pothum Idhu Pothum,['Unni Krishnan'],Aravindhan, Sarath Kumar, T. Nagarajan.,1997
 Suttrum Poomi ,['Jeyachandran'],Aravindhan, Sarath Kumar, T. Nagarajan.,1997
Thanga Suriyan,"['Mano',  'Swarnalatha']",Aravindhan, Sarath Kumar, T. Nagarajan.,1997
Aasai Nooru Vagai ,"['Malaysia Vasudevan', 'Devan']",Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Adichchi Pudichchi,"['Devan, 'Sunitha Sarathy']",Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Vaa Masakaatre ,"['Srinivas', 'Harish Raghavendra', 'Srilekha Parthasarathy', 'Subiksha']",Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Oviya Un Ora Parvai ,['P. S. Balram'],Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Kingini Mingini ,"['Yuvan Shankar Raja', 'Shalini Singh', 'Prashanthi']",Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Adhichi Pudhichi II,"['Afroze',  'Gopika Varma']",Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Theme Music Sax Bit,['Yuvan Shankar Raja'],Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Kurumbu Kurumbu,['Instrumental'],Kurumbu,Allari Naresh, Vishnuvardhan.,2003
Gangster,"['Yuvan Shankar Raja', 'Stefny']",Billa II, Ajith Kumar,Chakri Toleti,2012
Idhayam,['Shweta Pandit'],Billa II, Ajith Kumar,Chakri Toleti,2012
Yedho Mayakkam,"['Yuvan Shankar Raja', ' Tanvi Shah', ' Suvi Suresh']",Billa II, Ajith Kumar,Chakri Toleti,2012
Madurai Ponnu,['Andrea Jeremiah'],Billa II, Ajith Kumar,Chakri Toleti,2012
Unakkulle Mirugam,['Ranjith'],Billa II, Ajith Kumar,Chakri Toleti,2012
Billa 2 Theme Music,['Yuvan Shankar Raja'],Billa II, Ajith Kumar,Chakri Toleti,2012
Aanandha Yazhai,['Sriram Parthasarathy'],Thanga Meengal, Ram, Ram.,2013
First Last," ['Baby Sadhana, 'Baby Sanjana']",Thanga Meengal, Ram, Ram.,2013
Nathi Vellam,['Rahul Nambiar'],Thanga Meengal, Ram, Ram.,2013
Yaarukkum Thozhan Illai,['Alphons Joseph'],Thanga Meengal, Ram, Ram.,2013
U1 Introduction Theme Music,['Yuvan Shankar Raja'],Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
Poo Mudhal Pen Varai ,['Yuvan Shankar Raja'],Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
En Jannal Vandha ,"['Roshini', 'Priya', 'Divya', 'Pan Bundy']",Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
Theeratha Vilaiyattu,"['Andrea Jeremiah', 'Thanvi', 'Vinaitha', 'Ranjith']",Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
En Aasai Ethiraliye," ['Vijay Yesudas', 'Vinaitha']",Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
Oru Punnagai Thane,['Ranjith'],Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
Teriyaamaley Toleygiyren - (Movie Version),['Yuvan Shankar Raja'],Theeradha Vilaiyattu Pillai,Vishal,Thiru.,2009
En Kadhal ,['Yuvan Shankar Raja'],Punnagai Poove,Nandha,Saba Kailash,2003
Jogging Seyyum,['Shalini'],Punnagai Poove,Nandha,Saba Kailash,2003
Oru Poongili ,"['Srinivas', 'Prasanna']", Punnagai Poove,Nandha,Saba Kailash,2003
Siragaki Ponathe,"['Suchitra', 'Ganga']",Punnagai Poove,Nandha,Saba Kailash,2003
Thiruvallikeni,"['Karthik', 'Tippu']",Punnagai Poove,Nandha,Saba Kailash,2003
Vaanam Thoovum Poo,"['Harish Raghavendra, Harini']",Punnagai Poove,Nandha,Saba Kailash,2003
Venus Venus,"['Devan', 'Harini']",Punnagai Poove,Nandha,Saba Kailash,2003
Yeno Uyir,['Bhavatharini'],Punnagai Poove,Nandha,Saba Kailash,2003
Adadaa Adadaa Ennai ,"['Harini', ' Anoop Shankar']",Agaram,Nandha,T. Nagarajan,2007
Line Kidaichuduche ,"['Harish Raghavendra', 'Sharda']",Agaram,Nandha,T. Nagarajan,2007
Ponnu Thotha ,"['Manikka Vinayagam', 'Malgudi Subbha']",Agaram,Nandha,T. Nagarajan,2007
Toppu Yegiri Pogum,"['Tippu', 'Puspavanam Kuppusamy']",Agaram,Nandha,T. Nagarajan,2007
Unnai Naan Paarthen,"['Mahalakshmi Iyer', 'Anoop Shankar']",Agaram,Nandha,T. Nagarajan,2007
Mudhal Mudhalaga,['Hariharan'],Ethiri,Madhavan,K. S. Ravikumar,2004
Ichu Thariya,"['Shankar Mahadevan', 'Srivardhini']",Ethiri,Madhavan,K. S. Ravikumar,2004
Saithane Saithane ,"['Shankar Mahadevan', 'Srilekha Parthasarathy']",Ethiri,Madhavan,K. S. Ravikumar,2004
Podu Nanba Sakka Podu,['Karthik'],Ethiri,Madhavan,K. S. Ravikumar,2004
Thamizhnaatu Pennai,"['Tippu', 'Pop Shalini']",Ethiri,Madhavan,K. S. Ravikumar,2004
Bottle Mani,"['Premji', 'Chorus']",Ethiri,Madhavan,K. S. Ravikumar,2004
Kadhal Vandhu,"['Ranjith', 'Sujatha']",Ethiri,Madhavan,K. S. Ravikumar,2004
Nellayila Mannedutha,['Roshini'],Machakaaran,Jeevan,Tamilvannan,2007
Vaanathayum Megathayum,['Haricharan'],Machakaaran,Jeevan,Tamilvannan,2007
Vayasu Ponnukku ,['Mahalakshmi Iyer'],Machakaaran,Jeevan,Tamilvannan,2007
Jigiruthaanda ,"['Shankar Mahadevan', 'Snekha Bandh']",Machakaaran,Jeevan,Tamilvannan,2007
Nee Nee Nee,"['Hariharan', 'Madhushree']",Machakaaran,Jeevan,Tamilvannan,2007
Poovellam Paaraddum,"['Nithesh Gopalan', 'Karthik', 'Tippu', 'Pop Shalini']",Pop Corn,Mohanlal,Nassar,2003
Naan Vachen Lesa,"['Srinivas', 'Vasundhra Das']",Pop Corn,Mohanlal,Nassar,2003
En Isaikku,"['Hariharan', 'Sriram Parthasarathy']",Pop Corn,Mohanlal,Nassar,2003
Poovaitha Poovil,"['Prasanna Rao', 'Mathangi']",Pop Corn,Mohanlal,Nassar,2003
Poikaal Kudhirai,"['Hariharan', 'Manicka Vinayagam', 'Sujatha']",Pop Corn,Mohanlal,Nassar,2003
Amma Inge Vaa,"['Mohan Lal', 'Subiksha', 'Srilekha Parthasarthy']",Pop Corn,Mohanlal,Nassar,2003
Kadhalagi Kaninthu,"['S. P. Balasubramanyam', 'Srilekha Parthasarathy']",Pop Corn,Mohanlal,Nassar,2003
PopCorn (Theme Music) ,['Instrumental'],Pop Corn,Mohanlal,Nassar,2003
